"No.","Time","Source","Destination","Protocol","Length","Info"
"1095","286.464690100","57.144.169.32","192.168.0.106","TCP","66","443  >  55405 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"1097","286.465163700","57.144.169.32","192.168.0.106","TCP","66","5222  >  55406 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"1238","335.878821100","192.168.0.106","151.101.157.91","TCP","66","55419  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1239","335.879597400","192.168.0.106","151.101.157.91","TCP","66","55420  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1243","335.886562000","151.101.157.91","192.168.0.106","TCP","70","443  >  55419 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"1247","335.887548600","151.101.157.91","192.168.0.106","TCP","70","443  >  55420 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"1315","337.030684800","192.168.0.106","34.120.237.76","TCP","66","55421  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1317","337.033189100","192.168.0.106","34.120.237.76","TCP","66","55422  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1319","337.034524900","192.168.0.106","34.120.237.76","TCP","66","55423  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1320","337.036165900","192.168.0.106","34.120.237.76","TCP","66","55424  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1321","337.037732800","192.168.0.106","34.120.237.76","TCP","66","55425  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1326","337.041417500","192.168.0.106","34.120.237.76","TCP","66","55426  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1328","337.054723800","34.120.237.76","192.168.0.106","TCP","70","443  >  55421 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"1332","337.061997800","34.120.237.76","192.168.0.106","TCP","66","443  >  55422 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"1333","337.061997800","34.120.237.76","192.168.0.106","TCP","66","443  >  55423 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"1336","337.062272400","34.120.237.76","192.168.0.106","TCP","70","443  >  55424 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"1347","337.069414800","34.120.237.76","192.168.0.106","TCP","66","443  >  55425 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"1353","337.082405900","34.120.237.76","192.168.0.106","TCP","66","443  >  55426 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"1647","338.607767200","192.168.0.106","34.120.208.123","TCP","66","55427  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1751","338.642659900","34.120.208.123","192.168.0.106","TCP","66","443  >  55427 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"2010","339.562781600","192.168.0.106","34.36.73.246","TCP","66","55428  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2021","339.587822700","34.36.73.246","192.168.0.106","TCP","66","443  >  55428 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"2062","339.901024400","192.168.0.106","99.86.182.96","TCP","66","55429  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2064","339.913515300","99.86.182.96","192.168.0.106","TCP","66","443  >  55429 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"2523","341.257730000","192.168.0.106","162.247.243.39","TCP","66","55430  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2534","341.269871500","192.168.0.106","182.161.73.143","TCP","66","55431  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2552","341.281647600","162.247.243.39","192.168.0.106","TCP","70","443  >  55430 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=512"
"2593","341.312126700","182.161.73.143","192.168.0.106","TCP","70","443  >  55431 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"2607","341.318807200","192.168.0.106","182.161.73.131","TCP","66","55432  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2610","341.324975900","192.168.0.106","182.161.73.175","TCP","66","55433  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2615","341.334551800","192.168.0.106","162.247.241.14","TCP","66","55434  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
